ID,interval,workload
1.0,179,59
1.0,180,36
1.0,181,35
1.0,182,48
1.0,183,37
1.0,184,56
1.0,185,41
1.0,186,27
1.0,187,27
1.0,188,34
1.0,189,36
1.0,190,28
1.0,191,23
1.0,192,4
1.0,193,7
1.0,194,8
1.0,196,6
1.0,197,6
1.0,198,8
1.0,199,4
1.0,200,4
1.0,201,1
1.0,202,2
1.0,203,10
1.0,204,10
1.0,205,11
1.0,206,8
1.0,207,2
1.0,208,5
1.0,209,4
1.0,210,14
1.0,211,18
1.0,212,38
1.0,213,33
1.0,214,48
1.0,215,30
1.0,216,48
1.0,217,22
1.0,218,10
1.0,219,14
1.0,220,29
1.0,221,30
1.0,222,14
1.0,223,13
1.0,224,10
1.0,225,11
1.0,226,9
1.0,227,28
1.0,228,4
1.0,229,14
1.0,230,10
1.0,231,21
1.0,232,11
1.0,233,17
1.0,234,10
1.0,235,21
1.0,236,19
1.0,237,35
1.0,238,12
1.0,239,12
1.0,240,22
1.0,241,17
1.0,242,23
1.0,243,16
1.0,244,19
1.0,245,17
1.0,246,19
1.0,247,11
1.0,248,22
1.0,249,13
1.0,250,24
1.0,251,27
1.0,252,42
1.0,253,49
1.0,254,21
1.0,255,38
1.0,256,24
1.0,257,31
1.0,258,36
1.0,259,40
1.0,260,46
1.0,261,44
1.0,262,43
1.0,263,29
1.0,264,19
1.0,265,39
1.0,266,20
1.0,267,28
1.0,268,39
1.0,269,30
1.0,270,26
1.0,271,42
1.0,272,40
1.0,273,36
1.0,274,53
1.0,275,33
1.0,276,33
1.0,277,32
1.0,278,42
1.0,279,42
1.0,280,28
1.0,281,22
1.0,282,27
1.0,283,19
1.0,284,34
1.0,285,29
1.0,286,27
1.0,287,13
1.0,288,10
1.0,289,19
1.0,290,10
1.0,291,1
1.0,292,3
1.0,293,2
1.0,294,9
1.0,295,12
1.0,296,5
1.0,297,1
1.0,298,6
1.0,299,4
1.0,300,6
1.0,301,5
1.0,302,8
1.0,303,5
1.0,304,6
1.0,305,2
1.0,311,2
1.0,312,16
1.0,313,28
1.0,314,29
1.0,315,15
1.0,316,13
1.0,317,22
1.0,318,22
1.0,319,17
1.0,320,20
1.0,321,19
1.0,322,27
1.0,323,20
1.0,324,13
1.0,325,7
1.0,326,12
1.0,327,10
1.0,328,16
1.0,329,9
1.0,330,27
1.0,331,12
1.0,332,8
1.0,333,12
1.0,334,25
1.0,335,10
1.0,336,31
1.0,337,11
1.0,338,21
1.0,339,8
1.0,340,18
1.0,341,17
1.0,342,17
1.0,343,11
1.0,344,11
1.0,345,19
1.0,346,23
1.0,347,13
1.0,348,26
1.0,349,37
1.0,350,43
1.0,351,25
1.0,352,29
1.0,353,23
1.0,354,26
1.0,355,47
1.0,356,45
1.0,357,50
1.0,358,60
1.0,359,40
1.0,360,51
1.0,361,34
1.0,362,34
1.0,363,28
1.0,364,25
1.0,365,49
1.0,366,44
1.0,367,55
1.0,368,45
1.0,369,52
1.0,370,56
1.0,371,42
1.0,372,37
1.0,373,33
1.0,374,38
1.0,375,38
1.0,376,40
1.0,377,25
1.0,378,26
1.0,379,28
1.0,380,14
1.0,381,38
1.0,382,19
1.0,383,11
1.0,384,10
1.0,385,10
1.0,386,6
1.0,387,8
1.0,388,1
1.0,390,3
1.0,391,7
1.0,392,3
1.0,394,5
1.0,395,7
1.0,396,1
1.0,397,9
1.0,398,6
1.0,399,10
1.0,400,8
1.0,401,13
1.0,402,35
1.0,403,7
1.0,404,8
1.0,405,17
1.0,406,12
1.0,407,14
1.0,408,8
1.0,409,26
1.0,410,26
1.0,411,19
1.0,412,15
1.0,413,14
1.0,414,36
1.0,415,27
1.0,416,23
1.0,417,14
1.0,418,13
1.0,422,4
1.0,423,13
1.0,424,25
1.0,425,26
1.0,426,27
1.0,427,14
1.0,428,17
1.0,429,14
1.0,430,11
1.0,431,7
1.0,432,22
1.0,433,4
1.0,434,10
1.0,435,20
1.0,436,11
1.0,437,16
1.0,438,28
1.0,439,9
1.0,440,38
1.0,441,7
1.0,442,32
1.0,443,17
1.0,444,49
1.0,445,36
1.0,446,31
1.0,447,37
1.0,448,44
1.0,449,48
1.0,450,61
1.0,451,61
1.0,452,69
1.0,453,54
1.0,454,41
1.0,455,57
1.0,456,41
1.0,457,34
1.0,458,72
1.0,459,42
1.0,460,48
1.0,461,48
1.0,462,53
1.0,463,67
1.0,464,72
1.0,465,60
1.0,466,45
1.0,467,65
1.0,468,46
1.0,469,39
1.0,470,48
1.0,471,22
1.0,472,37
1.0,473,21
1.0,474,33
1.0,475,52
1.0,476,67
1.0,477,58
1.0,478,23
1.0,479,18
1.0,480,16
1.0,481,9
1.0,482,4
1.0,483,9
1.0,484,7
1.0,485,9
1.0,486,6
1.0,487,5
1.0,488,7
1.0,489,11
1.0,490,4
1.0,491,4
1.0,492,1
1.0,493,2
1.0,494,4
1.0,495,7
1.0,496,12
1.0,497,7
1.0,498,12
1.0,499,17
1.0,500,19
1.0,501,9
1.0,502,26
1.0,503,17
1.0,504,30
1.0,505,4
1.0,506,7
1.0,507,17
1.0,508,7
1.0,509,9
1.0,510,14
1.0,511,14
1.0,512,18
1.0,513,15
1.0,514,15
1.0,515,13
1.0,516,8
1.0,517,22
1.0,518,29
1.0,519,16
1.0,520,15
1.0,521,19
1.0,522,17
1.0,523,12
1.0,524,22
1.0,525,19
1.0,526,10
1.0,527,9
1.0,528,11
1.0,529,12
1.0,530,7
1.0,531,20
1.0,532,11
1.0,533,25
1.0,534,31
1.0,535,25
1.0,536,27
1.0,537,19
1.0,538,18
1.0,539,27
1.0,540,24
1.0,541,45
1.0,542,34
1.0,543,36
1.0,544,26
1.0,545,29
1.0,546,38
1.0,547,62
1.0,548,40
1.0,549,44
1.0,550,25
1.0,551,33
1.0,552,50
1.0,553,57
1.0,554,67
1.0,555,68
1.0,556,83
1.0,557,111
1.0,558,57
1.0,559,44
1.0,560,56
1.0,561,56
1.0,562,74
1.0,563,85
1.0,564,73
1.0,565,56
1.0,566,52
1.0,567,59
1.0,568,51
1.0,569,52
1.0,570,63
1.0,571,52
1.0,572,68
1.0,573,72
1.0,574,61
1.0,575,15
1.0,576,13
1.0,577,16
1.0,578,15
1.0,580,3
1.0,581,1
1.0,582,3
1.0,583,1
1.0,584,1
1.0,585,2
1.0,586,1
1.0,587,20
1.0,588,10
1.0,589,14
1.0,590,8
1.0,591,7
1.0,592,7
1.0,593,10
1.0,594,11
1.0,595,16
1.0,596,11
1.0,597,34
1.0,598,32
1.0,599,18
1.0,600,20
1.0,601,19
1.0,602,12
1.0,603,23
1.0,604,31
1.0,605,8
1.0,606,15
1.0,607,13
1.0,608,22
1.0,609,19
1.0,610,15
1.0,611,19
1.0,612,10
1.0,613,16
1.0,614,18
1.0,615,20
1.0,616,19
1.0,617,20
1.0,618,20
1.0,619,8
1.0,620,40
1.0,621,20
1.0,622,16
1.0,623,26
1.0,624,40
1.0,625,13
1.0,626,19
1.0,627,6
1.0,628,34
1.0,629,33
1.0,630,48
1.0,631,26
1.0,632,28
1.0,633,16
1.0,634,22
1.0,635,51
1.0,636,38
1.0,637,40
1.0,638,53
1.0,639,49
1.0,640,59
1.0,641,33
1.0,642,56
1.0,643,42
1.0,644,42
1.0,645,45
1.0,646,83
1.0,647,71
1.0,648,55
1.0,649,42
1.0,650,71
1.0,651,64
1.0,652,65
1.0,653,98
1.0,654,79
1.0,655,83
1.0,656,116
1.0,657,84
1.0,658,78
1.0,659,88
1.0,660,108
1.0,661,96
1.0,662,101
1.0,663,73
1.0,664,94
1.0,665,63
1.0,666,74
1.0,667,113
1.0,668,82
1.0,669,75
1.0,670,75
1.0,671,43
1.0,672,19
1.0,673,24
1.0,674,27
1.0,675,16
1.0,676,10
1.0,677,26
1.0,678,20
1.0,679,6
1.0,680,11
1.0,681,12
1.0,682,10
1.0,683,9
1.0,684,3
1.0,685,10
1.0,686,7
1.0,687,5
1.0,688,5
1.0,689,7
1.0,690,20
1.0,691,9
1.0,692,11
1.0,693,6
1.0,694,7
1.0,695,14
1.0,696,9
1.0,697,14
1.0,698,12
1.0,699,15
1.0,700,28
1.0,701,18
1.0,702,26
1.0,703,22
1.0,704,21
1.0,705,29
1.0,706,30
1.0,707,25
1.0,708,10
1.0,709,15
1.0,710,31
1.0,711,28
1.0,712,26
1.0,713,21
1.0,714,37
1.0,715,24
1.0,716,21
1.0,717,9
1.0,718,16
1.0,719,16
1.0,720,26
1.0,721,32
1.0,722,14
1.0,723,19
1.0,724,26
1.0,725,12
1.0,726,14
1.0,727,30
1.0,728,25
1.0,729,37
1.0,730,32
1.0,731,66
1.0,732,48
1.0,733,30
1.0,734,32
1.0,735,38
1.0,736,41
1.0,737,35
1.0,738,52
1.0,739,72
1.0,740,31
1.0,741,66
1.0,742,43
1.0,743,41
1.0,744,80
1.0,745,31
1.0,746,50
1.0,747,69
1.0,748,63
1.0,749,78
1.0,750,93
1.0,751,107
1.0,752,62
1.0,753,83
1.0,754,102
1.0,755,91
1.0,756,102
1.0,757,119
1.0,758,83
1.0,759,105
1.0,760,95
1.0,761,108
1.0,762,75
1.0,763,88
1.0,764,102
1.0,765,92
1.0,766,91
1.0,767,44
1.0,768,39
1.0,769,27
1.0,770,12
1.0,771,26
1.0,772,25
1.0,773,17
1.0,774,19
1.0,775,13
1.0,776,4
1.0,777,1
1.0,778,4
1.0,779,7
1.0,780,15
1.0,781,6
1.0,782,16
1.0,783,6
1.0,784,2
1.0,785,12
1.0,786,12
1.0,787,5
1.0,788,9
1.0,789,14
1.0,790,5
1.0,791,17
1.0,792,15
1.0,793,16
1.0,794,13
1.0,795,26
1.0,796,22
1.0,797,20
1.0,798,16
1.0,799,7
1.0,800,16
1.0,801,21
1.0,802,17
1.0,803,17
1.0,804,43
1.0,805,21
1.0,806,24
1.0,807,36
1.0,808,20
1.0,809,27
1.0,810,32
1.0,811,27
1.0,812,29
1.0,813,43
1.0,814,31
1.0,815,32
1.0,816,36
1.0,817,41
1.0,818,36
1.0,819,25
1.0,820,50
1.0,821,33
1.0,822,32
1.0,823,30
1.0,824,42
1.0,825,27
1.0,826,39
1.0,827,74
1.0,828,54
1.0,829,65
1.0,830,68
1.0,831,59
1.0,832,87
1.0,833,67
1.0,834,43
1.0,835,38
1.0,836,63
1.0,837,66
1.0,838,39
1.0,839,68
1.0,840,101
1.0,841,68
1.0,842,83
1.0,843,63
1.0,844,59
1.0,845,74
1.0,846,61
1.0,847,86
1.0,848,108
1.0,849,102
1.0,850,102
1.0,851,87
1.0,852,63
1.0,853,77
1.0,854,87
1.0,855,81
1.0,856,97
1.0,857,68
1.0,858,70
1.0,859,76
1.0,860,100
1.0,861,111
1.0,862,89
1.0,863,53
1.0,864,21
1.0,865,23
1.0,866,13
1.0,867,24
1.0,868,19
1.0,869,8
1.0,870,20
1.0,871,8
1.0,872,16
1.0,873,6
1.0,874,4
1.0,875,7
1.0,876,11
1.0,877,13
1.0,878,4
1.0,879,17
1.0,880,11
1.0,881,14
1.0,882,3
1.0,883,11
1.0,884,10
1.0,885,14
1.0,886,7
1.0,887,8
1.0,888,8
1.0,889,16
1.0,890,17
1.0,891,14
1.0,892,14
1.0,893,9
1.0,894,23
1.0,895,11
1.0,896,11
1.0,897,3
1.0,898,12
1.0,899,17
1.0,900,19
1.0,901,10
1.0,902,21
1.0,903,14
1.0,904,12
1.0,905,8
1.0,906,5
1.0,907,23
1.0,908,43
1.0,909,32
1.0,910,16
1.0,911,18
1.0,912,26
1.0,913,18
1.0,914,14
1.0,915,17
1.0,916,22
1.0,917,12
1.0,918,31
1.0,919,21
1.0,920,21
1.0,921,11
1.0,922,17
1.0,923,28
1.0,924,29
1.0,925,23
1.0,926,30
1.0,927,32
1.0,928,27
1.0,929,24
1.0,930,35
1.0,931,41
1.0,932,43
1.0,933,27
1.0,934,34
1.0,935,38
1.0,936,26
1.0,937,62
1.0,938,49
1.0,939,47
1.0,940,40
1.0,941,22
1.0,942,45
1.0,943,64
1.0,944,37
1.0,945,28
1.0,946,38
1.0,947,31
1.0,948,45
1.0,949,29
1.0,950,55
1.0,951,35
1.0,952,31
1.0,953,34
1.0,954,24
1.0,955,12
1.0,956,35
1.0,957,28
1.0,958,27
1.0,959,17
1.0,960,15
1.0,961,5
1.0,962,7
1.0,963,5
1.0,964,4
1.0,965,6
1.0,966,2
1.0,967,15
1.0,968,13
1.0,969,4
1.0,970,5
1.0,971,6
1.0,972,8
1.0,973,14
1.0,974,17
1.0,975,15
1.0,976,10
1.0,977,29
1.0,978,18
1.0,979,18
1.0,980,27
1.0,981,19
1.0,982,20
1.0,983,22
1.0,984,23
1.0,985,10
1.0,986,22
1.0,987,16
1.0,988,14
1.0,989,11
1.0,990,7
1.0,991,14
1.0,992,23
1.0,993,19
1.0,994,10
1.0,995,12
1.0,996,18
1.0,997,16
1.0,999,18
1.0,1000,15
1.0,1001,11
1.0,1002,13
1.0,1003,29
1.0,1004,13
1.0,1005,15
1.0,1006,8
1.0,1007,17
1.0,1008,28
1.0,1009,6
1.0,1010,15
1.0,1011,19
1.0,1012,22
1.0,1013,23
1.0,1014,16
1.0,1015,12
1.0,1016,11
1.0,1017,13
1.0,1018,18
1.0,1019,24
1.0,1020,17
1.0,1021,21
1.0,1022,49
1.0,1023,25
1.0,1024,28
1.0,1025,14
1.0,1026,27
1.0,1027,33
1.0,1028,34
1.0,1029,48
1.0,1030,19
1.0,1031,33
1.0,1032,38
1.0,1033,32
1.0,1034,42
1.0,1035,27
1.0,1036,40
1.0,1037,29
1.0,1038,42
1.0,1039,22
1.0,1040,46
1.0,1041,41
1.0,1042,46
1.0,1043,59
1.0,1044,28
1.0,1045,42
1.0,1046,46
1.0,1047,37
1.0,1048,45
1.0,1049,32
1.0,1050,27
1.0,1051,37
1.0,1052,33
1.0,1053,40
1.0,1054,22
1.0,1055,14
1.0,1056,4
1.0,1057,5
1.0,1058,4
1.0,1059,5
1.0,1060,3
1.0,1061,6
1.0,1062,6
1.0,1063,5
1.0,1064,15
1.0,1065,7
1.0,1066,5
1.0,1067,9
1.0,1068,8
1.0,1069,10
1.0,1070,7
1.0,1071,10
1.0,1072,8
1.0,1073,5
1.0,1074,19
1.0,1075,14
1.0,1076,8
1.0,1077,27
1.0,1078,19
1.0,1079,21
1.0,1080,11
1.0,1081,19
1.0,1082,17
1.0,1083,19
1.0,1084,15
1.0,1085,14
1.0,1086,16
1.0,1087,17
1.0,1088,10
1.0,1089,19
1.0,1090,16
1.0,1091,4
1.0,1092,25
1.0,1093,27
1.0,1094,14
1.0,1095,21
1.0,1096,11
1.0,1097,38
1.0,1098,26
1.0,1099,10
1.0,1100,20
1.0,1101,17
1.0,1102,9
1.0,1103,16
1.0,1104,22
1.0,1105,14
1.0,1106,7
1.0,1107,22
1.0,1108,11
1.0,1109,16
1.0,1110,7
1.0,1111,12
1.0,1112,9
1.0,1113,10
1.0,1114,12
1.0,1115,38
1.0,1116,40
1.0,1117,31
1.0,1118,36
1.0,1119,46
1.0,1120,16
1.0,1121,28
1.0,1122,43
1.0,1123,62
1.0,1124,29
1.0,1125,22
1.0,1126,43
1.0,1127,36
1.0,1128,27
1.0,1129,54
1.0,1130,29
1.0,1131,43
1.0,1132,49
1.0,1133,47
1.0,1134,25
1.0,1135,36
1.0,1136,41
1.0,1137,54
1.0,1138,59
1.0,1139,27
1.0,1140,36
1.0,1141,61
1.0,1142,44
1.0,1143,51
1.0,1144,45
1.0,1145,43
1.0,1146,41
1.0,1147,36
1.0,1148,42
1.0,1149,31
1.0,1150,29
1.0,1151,20
1.0,1152,7
1.0,1153,12
1.0,1154,9
1.0,1155,1
1.0,1156,2
1.0,1157,8
1.0,1158,8
1.0,1159,3
1.0,1160,6
1.0,1161,5
1.0,1162,5
1.0,1163,5
1.0,1164,3
1.0,1165,12
1.0,1166,6
1.0,1167,6
1.0,1168,10
1.0,1169,17
1.0,1170,13
1.0,1171,9
1.0,1172,31
1.0,1173,20
1.0,1174,19
1.0,1175,23
1.0,1176,12
1.0,1177,10
1.0,1178,13
1.0,1179,31
1.0,1180,23
1.0,1181,19
1.0,1182,19
1.0,1183,12
1.0,1184,12
1.0,1185,11
1.0,1186,15
1.0,1187,14
1.0,1188,21
1.0,1189,7
1.0,1190,17
1.0,1191,15
1.0,1192,22
1.0,1193,25
1.0,1194,28
1.0,1195,19
1.0,1196,22
1.0,1197,23
1.0,1198,22
1.0,1199,11
1.0,1200,29
1.0,1201,10
1.0,1202,31
1.0,1203,23
1.0,1204,20
1.0,1205,14
1.0,1206,15
1.0,1207,23
1.0,1208,36
1.0,1209,26
1.0,1210,8
1.0,1211,18
1.0,1212,14
1.0,1213,36
1.0,1214,38
1.0,1215,43
1.0,1216,34
1.0,1217,38
1.0,1218,51
1.0,1219,32
1.0,1220,29
1.0,1221,28
1.0,1222,37
1.0,1223,40
1.0,1224,55
1.0,1225,47
1.0,1226,46
1.0,1227,58
1.0,1228,48
1.0,1229,37
1.0,1230,42
1.0,1231,70
1.0,1232,62
1.0,1233,40
1.0,1234,49
1.0,1235,63
1.0,1236,39
1.0,1237,46
1.0,1238,39
1.0,1239,31
1.0,1240,53
1.0,1241,52
1.0,1242,52
1.0,1243,58
1.0,1244,56
1.0,1245,61
1.0,1246,23
1.0,1247,27
1.0,1248,15
1.0,1249,13
1.0,1250,8
1.0,1251,7
1.0,1252,7
1.0,1253,7
1.0,1254,1
1.0,1255,12
1.0,1256,11
1.0,1257,13
1.0,1258,14
1.0,1259,4
1.0,1260,5
1.0,1261,14
1.0,1262,8
1.0,1263,12
1.0,1264,8
1.0,1265,9
1.0,1266,7
1.0,1267,14
1.0,1268,29
1.0,1269,15
1.0,1270,28
1.0,1271,29
1.0,1272,7
1.0,1273,20
1.0,1274,28
1.0,1275,13
1.0,1276,7
1.0,1277,15
1.0,1278,30
1.0,1279,19
1.0,1280,10
1.0,1281,25
1.0,1282,12
1.0,1283,9
1.0,1284,28
1.0,1285,29
1.0,1286,17
1.0,1287,13
1.0,1288,16
1.0,1289,15
1.0,1290,16
1.0,1291,25
1.0,1292,26
1.0,1293,26
1.0,1294,16
1.0,1295,9
1.0,1296,28
1.0,1297,19
1.0,1298,28
1.0,1299,22
1.0,1300,30
1.0,1301,22
1.0,1302,19
1.0,1303,16
1.0,1304,37
1.0,1305,42
1.0,1306,39
1.0,1307,54
1.0,1308,17
1.0,1309,49
1.0,1310,31
1.0,1311,53
1.0,1312,79
1.0,1313,63
1.0,1314,28
1.0,1315,58
1.0,1316,65
1.0,1317,77
1.0,1318,73
1.0,1319,73
1.0,1320,86
1.0,1321,64
1.0,1322,53
1.0,1323,44
1.0,1324,75
1.0,1325,97
1.0,1326,89
1.0,1327,49
1.0,1328,81
1.0,1329,98
1.0,1330,80
1.0,1331,85
1.0,1332,77
1.0,1333,81
1.0,1334,69
1.0,1335,115
1.0,1336,112
1.0,1337,71
1.0,1338,84
1.0,1339,83
1.0,1340,114
1.0,1341,143
1.0,1342,64
1.0,1343,50
1.0,1344,40
1.0,1345,43
1.0,1346,19
1.0,1347,35
1.0,1348,12
1.0,1349,19
1.0,1350,13
1.0,1351,6
1.0,1352,15
1.0,1353,8
1.0,1354,12
1.0,1355,6
1.0,1356,1
1.0,1357,22
1.0,1358,8
1.0,1359,17
1.0,1360,6
1.0,1361,3
1.0,1362,10
1.0,1363,6
1.0,1364,8
1.0,1365,12
1.0,1366,9
1.0,1367,11
1.0,1368,10
1.0,1369,15
1.0,1370,26
1.0,1371,21
1.0,1372,23
1.0,1373,16
1.0,1374,28
1.0,1375,18
1.0,1376,28
1.0,1377,22
1.0,1378,17
1.0,1379,20
1.0,1380,21
1.0,1381,21
1.0,1382,18
1.0,1383,15
1.0,1384,20
1.0,1385,26
1.0,1386,27
1.0,1387,36
1.0,1388,43
1.0,1389,20
1.0,1390,38
1.0,1391,25
1.0,1392,29
1.0,1393,28
1.0,1394,23
1.0,1395,25
1.0,1396,12
1.0,1397,22
1.0,1398,24
1.0,1399,23
1.0,1400,34
1.0,1401,35
1.0,1402,27
1.0,1403,32
1.0,1404,43
1.0,1405,43
1.0,1406,62
1.0,1407,40
1.0,1408,58
1.0,1409,56
1.0,1410,36
1.0,1411,54
1.0,1412,42
1.0,1413,82
1.0,1414,64
1.0,1415,45
1.0,1416,48
1.0,1417,58
1.0,1418,58
1.0,1419,61
1.0,1420,101
1.0,1421,66
1.0,1422,76
1.0,1423,93
1.0,1424,92
1.0,1425,88
1.0,1426,68
1.0,1427,102
1.0,1428,110
1.0,1429,61
1.0,1430,102
1.0,1431,102
1.0,1432,115
1.0,1433,94
1.0,1434,105
1.0,1435,91
1.0,1436,85
1.0,1437,102
1.0,1438,130
1.0,1439,59
1.0,1440,25
1.0,1441,36
1.0,1442,26
1.0,1443,28
1.0,1444,8
1.0,1445,11
1.0,1446,8
1.0,1447,24
1.0,1448,22
1.0,1449,13
1.0,1450,8
1.0,1451,12
1.0,1452,13
1.0,1453,8
1.0,1454,11
1.0,1455,8
1.0,1456,11
1.0,1457,15
1.0,1458,15
1.0,1459,6
1.0,1460,7
1.0,1461,9
1.0,1462,3
1.0,1463,11
1.0,1464,18
1.0,1465,5
1.0,1466,8
1.0,1467,13
1.0,1468,15
1.0,1469,9
1.0,1470,14
1.0,1471,19
1.0,1472,24
1.0,1473,28
1.0,1474,18
1.0,1475,5
1.0,1476,34
1.0,1477,21
1.0,1478,15
1.0,1479,37
1.0,1480,9
1.0,1481,9
1.0,1482,23
1.0,1483,16
1.0,1484,25
1.0,1485,29
1.0,1486,25
1.0,1487,20
1.0,1488,39
1.0,1489,39
1.0,1490,31
1.0,1491,35
1.0,1492,32
1.0,1493,26
1.0,1494,18
1.0,1495,9
1.0,1496,20
1.0,1497,15
1.0,1498,25
1.0,1499,16
1.0,1500,47
1.0,1501,47
1.0,1502,40
1.0,1503,42
1.0,1504,37
1.0,1505,37
1.0,1506,63
1.0,1507,44
1.0,1508,64
1.0,1509,40
1.0,1510,32
1.0,1511,52
1.0,1512,35
1.0,1513,66
1.0,1514,39
1.0,1515,63
1.0,1516,31
1.0,1517,26
1.0,1518,68
1.0,1519,33
1.0,1520,38
1.0,1521,53
1.0,1522,51
1.0,1523,45
1.0,1524,45
1.0,1525,30
1.0,1526,40
1.0,1527,48
1.0,1528,53
1.0,1529,39
1.0,1530,38
1.0,1531,29
1.0,1532,53
1.0,1533,18
1.0,1534,20
1.0,1535,12
1.0,1536,16
1.0,1537,13
1.0,1538,14
1.0,1539,7
1.0,1540,6
1.0,1541,6
1.0,1542,3
1.0,1543,6
1.0,1544,7
1.0,1545,6
1.0,1546,7
1.0,1547,4
1.0,1548,12
1.0,1549,11
1.0,1550,11
1.0,1551,19
1.0,1552,12
1.0,1553,1
1.0,1554,22
1.0,1555,8
1.0,1556,29
1.0,1557,40
1.0,1558,23
1.0,1559,24
1.0,1560,21
1.0,1561,22
1.0,1562,5
1.0,1563,30
1.0,1564,14
1.0,1565,15
1.0,1566,19
1.0,1567,20
1.0,1568,29
1.0,1569,21
1.0,1570,10
1.0,1571,36
1.0,1572,6
1.0,1573,11
1.0,1574,28
1.0,1575,24
1.0,1576,22
1.0,1577,12
1.0,1578,13
1.0,1579,12
1.0,1580,10
1.0,1581,30
1.0,1582,8
1.0,1583,18
1.0,1584,31
1.0,1585,15
1.0,1586,12
1.0,1587,13
1.0,1588,10
1.0,1589,26
1.0,1590,36
1.0,1591,29
1.0,1592,11
1.0,1593,18
1.0,1594,13
1.0,1595,23
1.0,1596,35
1.0,1597,30
1.0,1598,21
1.0,1599,51
1.0,1600,20
1.0,1601,24
1.0,1602,27
1.0,1603,40
1.0,1604,35
1.0,1605,36
1.0,1606,25
1.0,1607,27
1.0,1608,36
1.0,1609,29
1.0,1610,35
1.0,1611,40
1.0,1612,29
1.0,1613,32
1.0,1614,52
1.0,1615,45
1.0,1616,56
1.0,1617,52
1.0,1618,44
1.0,1619,36
1.0,1620,54
1.0,1621,33
1.0,1622,31
1.0,1623,23
1.0,1624,24
1.0,1625,37
1.0,1626,36
1.0,1627,28
1.0,1628,33
1.0,1629,45
1.0,1630,19
1.0,1631,2
1.0,1632,2
1.0,1633,7
1.0,1634,10
1.0,1635,14
1.0,1636,3
1.0,1637,6
1.0,1638,6
1.0,1639,7
1.0,1640,1
1.0,1641,9
1.0,1643,3
1.0,1644,5
1.0,1645,11
1.0,1646,8
1.0,1647,11
1.0,1648,10
1.0,1649,7
1.0,1650,17
1.0,1651,14
1.0,1652,24
1.0,1653,30
1.0,1654,21
1.0,1655,25
1.0,1656,26
1.0,1657,15
1.0,1658,16
1.0,1659,15
1.0,1660,11
1.0,1661,5
1.0,1662,23
1.0,1663,4
1.0,1664,13
1.0,1665,18
1.0,1666,18
1.0,1667,14
1.0,1668,8
1.0,1669,15
1.0,1670,11
1.0,1671,24
1.0,1672,24
1.0,1673,20
1.0,1674,14
1.0,1675,19
1.0,1676,18
1.0,1677,15
